3-12-3 Brainstorm	This format for brainstorming compresses the essentials of an ideation session into one short format. The number 3-12-3 refer to the amount of time in minutes given to each of three activities: 3 minutes for generating pool of observations	 12 for combining those observations into rough concepts	 and 3 again for presenting the concepts back to a group. Essential to this format is strict time keeping. 	"1. Pick a topic on which to brainstorm ideas, boiled down to 2 words. 
2. The 2 words can be presented as a full challenge question, such as ""How will tomorrow's television work?"" it is best to avoid doing this right away. By focusing on 2 wors that signify the topic, you will aim to evoke thinking about its defining aspects first, before moving into new concepts or proposing solutions.
3. To set up the game distribute stack of cards and markers to participants. Everyone should have same umber of cards and  distribution should happen after rules are given. 

4. First 3 minutes: Generate a pool of aspects: think about characteristics of the topic and wrie them down on the index card
5. 12 Minutes: Develop concepts: divide group into pairs. each team draws 3 cards randomly from the pool. Teams develop concepts from the chosen cards.
6. 3 minutes: Make presentations: when teams present to the larger group, teams may reveal the cards that they drew and how the cards influenced their thinking. 
 "	Strict time keeping. Speed is key. 	pg 78	"Gathering informATION
Analyzing/synthesizing information"		credited to James Macanufo																				
7Ps Framework	"Every meeting deserves a plan. Note that a great plan can't guarantee  a great outcome, but it will help lay down the fundamentals from which you can adapt. Sketch out these fundamentals by using the 7ps: Purpose, product, people, process,pitfalls, prep, practical. 

Context: Purpose, product, people, process,pitfalls, prep, practical. "	"When preparing for a meeting, thinking through the 7Ps can improve focus and results, even if you have only a few moments to reflect on them. 
Purpose: Consider the urgency of the metting; whats going on and whats on fire? If this is difficult to articulate, ask yourself if a meeting is really necessary
2. Product: What specific artifact will we produce out of the meeting? What will it do and how will it serve the purpose?
3. People: Who needs to be there, and what role will they play? 
4. Process: What agenda will these people use to create the product? Of all the 7Ps, the agenda is where you have the most opportunity to collaborate in advance
5. Pitfalls: What are the risks of the meeting, and how will they be addressed? 
6. Prep: What would be useful to do in advance? This could be material to rad in advancem research to conduct, or homework to assign to the attendees
7. Practical concerns: These are the logistics of the meeting--the where and when and importantly, who's bringing lunch"	"Each of the 7Ps can influence or change one of the others, and developing a good plan will take this into account 

The 7Ps can give you a framework for designing a meeting, but they can't run the meeting for you. The unexpected will happen, and as a leader you will need to adapt. "	pg 54	Gathering information		credited to James Macanufo																						
Action Learning	"Action learning is a process whereby the participant studies their own actions and experience in order to help learn more, solve problems and improve performance. This is close to the idea of 'learning-by-doing' or teaching by examples.

Reginald Revans formulated the process as L=P+Q. This is Learning = Programming (programmed knowledge or simulations) + Questioning (to create insight for and by others).

Action learning should be used to address complex problems, to find solutions to underlying root causes of problems, and to determine a new strategic direction or to maximize new opportunities. "	"Participants consist of small groups representative of a given society with various skills and areas of expertise.

Participants meet for sets of 1-2 hour or more.

1. Clarify the objective of the Action Learning groups
2. Convene a cross-section of people with complementary skills and expertise to participate
3. Hold initial meetings to analyze the issues and identify actions for resolving them
4. Take action in the work place
5. Use subgroups to work on the specific aspects of the problem if necessary
6. Reconvene the group after a period of time to discuss progress/lessons leanred/future action
7. Repeat the cycle of action and learning until problem is resolved"	"Benefits of Method: 
-Collaborative
-Engages with participants instead of keeping them passive
-Can help change old, inflexible teaching methods
-Provides strong stimulus for self-directed learning
-Learn new problem solving methods from others
-Fosters creative thinking and learning

Deficits of Method:
-Organizing meetings can be difficult
-Meetings may be dominated by individuals
-Can be repetitive"	"http://www.peopleandparticipation.net/display/Methods/Action+Learning

http://www.humtech.com/opm/grtl/ols/ols2.cfm"	"Analysis & Synthesis
Gathering Information"																								
Action Planning	"Action planning is a statement of what you want to achieve over a given period of time process that helps focus ideas and decide the steps you need to take to achieve particular goals.  Preparing an action plan is a good way to help you reach your objectives.

"	"An effective action plan should give a definite timetable and set of clearly defined steps to help you to reach your objective. For each objective there should be a separate action plan.

1. Identify your objectives
2. Set objectives that are achievable and measurable
3. Prioritize tasks effectively
4. Identify steps needed to achieve your goals, who is required to achieve the action, and what are your deadlines

Once you have produced an action plan, it must be reviewed regularly to ensure the actons are being completed. "		"http://www.peopleandparticipation.net/display/Methods/Action+Planning

http://www.kent.ac.uk/careers/sk/skillsactionplanning.htm

http://www.institute.nhs.uk/quality_and_service_improvement_tools/quality_and_service_improvement_tools/action_planning.html"	Analysis & Synthesis																								
Action Research	"In Action Research the researcher typically tries to provide a service to a research ""client"", often an organization, and at the same time add to the body of knowledge in a particular domain. In technology-related inquiry, an Action Research study could entail the researcher introducing a new technology in an organization, and at the same time studying the effects of the technology in that organization. "	"Action Research Procedure is a cycle of five stages:
1. Diagnosing: Identifying or defining a problem
2. Action Planning: Consider alternative courses of action
3. Taking Action: Selecting a course of action
4. Evaluating: Studying the consequences of an action
5. Specficying Learning: Identifying general findings"	"Six key principles:
1. Reflective Critique
The principle of reflective critique ensures people reflect on issues and processes and make explicit the interpretations, biases, assumptions and concerns upon which judgments are made.  In this way, practical accounts can give rise to theoretical considerations.

2. Dialectical critique
Dialectical critique is required to understand the set of relationships both between the phenomenon and its context, and between the elements constituting the phenomenon.  The key elements to focus attention on are those constituent elements that are unstable, or in opposition to one another.  These are the ones that are most likely to create changes.

3. Collaborative Resource 
The principle of collaborative resource presupposes that each person’s ideas are equally significant as potential resources for creating interpretive categories of analysis, negotiated among the participants.  It strives to avoid the skewing of credibility stemming from the prior status of an idea-holder.  It especially makes possible the insights gleaned from noting the contradictions both between many viewpoints and within a single viewpoint

4. Risk
Initiators of action research will use this principle to allay others’ fears and invite participation by pointing out that they, too, will be subject to the same process, and that whatever the outcome, learning will take place.

5.Plural Structure
This plural structure of inquiry requires a plural text for reporting.  This means that there will be many accounts made explicit, with commentaries on their contradictions, and a range of options for action presented.

6. Theory, Practice, Transformation
For action researchers, theory informs practice, practice refines theory, in a continuous transformation."	"http://www.interaction-design.org/encyclopedia/action_research.html

http://www.web.ca/robrien/papers/arfinal.html"	"Analysis & Synthesis
Gathering Information"																								
Active Listening	"Active listening is a specific communication skill, based on the work of psychologist Carl Rogers, which involves giving free and undivided attention to the speaker. Knights defines free attention as: ‘... placing all of one’s attention and awareness at the disposal of another person, listening with interest and appreciating without interrupting.’ 

The purpose of Active Listening is to achieve a greater understanding of what the listener is trying to convey. 

In design, Active Listening is especially useful when conducting interviews. "	"Active Listening Skills:

Attentive body language
- Posture and gestures showing involvement and engagement
-Appropriate body movement
-Appropriate facial expressions
-Appropriate eye contact
- Nondistracting environment

Following Skills (Giving the speaker space to tell their story their own way)
- Interested 'door openers'
- Minimal verbal encouragers
- Infrequent, timely and considered questions
- Attentive silences
Reflecting Skills (restating the feeling and/or content with understanding and acceptance)
- Paraphrase (check periodically that you've understood)
- Reflect back feelings and content
- Summarize the major issues"	"Related Methods: Interviews, Expert interviews, Extreme User Interviews, Dyad Interviews, Pre-Interviews, Structures Interviews, Triad Interviews, Photo-elicitation interviews

As Carl Rogers said in 1980: ‘Attentive listening means giving one’s total and undivided attention to the other person and tells the other that we are interested and concerned. Listening is difficult work that we will not undertake unless we have deep respect and care for the other... we listen not only with our ears, but with our eyes, mind, heart and imagination, as well. We listen to what is going on within ourselves, as well as to what is taking place in the person we are hearing. We listen to the words of the other, but we also listen to the messages buried in the words. We listen to the voice, the appearance, and the body language of the other... We simply try to absorb ever ything the speaker is saying verbally and nonverbally without adding, subtracting, or amending’."	"Robertson K (2005). Active listening: more than just paying attention. Aust Fam Physician 34 (12): 10535 PMID 16333490
Kelly, Melissa, About.com Guide: Active Listening, Steps and Instructions"	"Gathering Information
Generating Ideas and Concepts
Evaluating an Choosing"																								
Activity Analysis	"Activity Analysis is an assessment of a workplace. It is designed to gather information about the activities, operators behaviors, operating strategies, thought processes and interactions with others in a given situation in the workplace and ways in which they can potentially be made more efficient or valuable. 

This process should be done in the beginning of the design process so it can better assess activities done at a workplace and tailor activity engagement to maximize efficiency."	"1. Observe at a given worksplace
2. Interview workers to gather information about the activities they're engaged in
3. Analyze understanding to explain workers' operating strategies"	"Similar Methods:
-Work Analysis, Task Analysis

Benefits of Method:
-Able to better understand operators' operating strategies to maximize efficiency

Deficits of Method: 
-Heterogeneity of the knowledge used by operators
-Operators have interiorized social stereotypes
-Difficult to use the operators' knowledge
-Their knowledge is contextualized
-They relate the future with their past experiences
-Time constraint
-Budget constraint"	"Garrigou, A., Daniellous, F., Carballeda, G., Ruaud, S. Activity analysis in participatory design and analysis of participatory design activity.1995.
 Smith. WiseGeek. http://www.wisegeek.com/what-is-an-activity-analysis.htm.zx 
Kuhaneck, M. Heather, Activity Analysis, Creativity and Playfulness in Pediatric Occupational Therapy: Making Play Just Right"	"Gathering Information
Analysis & Synthesis"																								
Activity Modeling	"Activity Modeling aims to capture and succinctly represent the salient information regarding activities that is most relevant to interaction design. Creating an activity model will allow the designer to gather information on processes and interactions performed by the target audience.

This process is best used during the observe phase of design."	"By creating the following three parts, the designer should have insight as to how their product should fit into the existing model and how it would affect actors and artifacts in the system:

1. Activity Map - identifies relevant activities and their interrelationships
2. Activity Profiles - describes the salient aspects of relevant activities
3. Participation Map - shows involvement of actors with the system, with other artifacts, and with other participants"	"An Activity Model defines and describes activities and their interrelationships. Roles and tasks are explicity connected to the activities in which they are imbedded. 

Deficits of Method:
-Because this method is geared towards practitioners of design, it can be lacking in rigor and formal techniques

Benefits of Method:
-Very systematic and practically oriented.

Related Methods: Activity Theory, User-Centered Design"	Constantine	 Larry L. Activity Modeling: Toward a Pragmatic Integration of Activity Theory with Usage-Centered Design. 2006.	"Generating Ideas and Concepts
Evaluating an Choosing"																							
Actors map	"The actors map is a graph representing the system of actors with their mutual relations. It provides a systemic view of the service and of its context.

This method is meant to define the relationship of ""actors"" in the actor table in terms of how their roles are shared. This method should be used when there are a lot of actors in complicated relatonships. It seeks to answer the questions ""Who needs to interact with the system in similar ways?"" and ""Which roles are unique?"""	"1. Identify each actor
2. Define how each actor is related to each other"		"http://www.servicedesigntools.org/tools/36

http://www.construx.com/File.ashx?cid=1538"	Communicating Ideas and Concepts																								
AEIOU	"The purpose of this method is to develop a more comprehensive and holistic view of Ethnographic research. Each one of the letters in AEIOU corresponds to a word: Activities, Environments, Interactions, Objects, Users. This breakdown helps identify what specific points to research. 

The AEIOU process should be conducted at the very beginning of your design process so that you understand exactly what and where your product relates to."	"Below is how Christina Wasson uses these definitions:
-Activities are goal directed sets of actions- things which people want to accomplish
-Environments include the entire arena where actions take place.
-Interactions are between a person and someone or something else, and are the building blocks of activities.
-Object are building blocks of the environment, key elements sometimes put to complex or unintended users, changing their function, meaning and context.
-Users are the consumers, the people providing the behaviors, preferences and needs."		http://roschuni.com/wiki/index.php/AEIOU	"Generating Ideas and Cconcepts
Analysis & Synthesis"																								
Affective Computing	Affective computing involves analysis on how to deal with the emotions that arise from the user experience. It is computing that relates to	 arises from	 or deliberately influences emotion or other affective phenomena.	"Introduction: Establish subject data and the task exercise, and conduct an intial mood assessment
Part 1 (Mood Neutral): Mood Induction 1, Mood Assessment 1A, Task 1, Mood Assessment 1B
Part 2 (Mood PH/PL/NH/NL Neutral): Mood Induction 2, Mood Assessment 2A, Task 2, Mood Assesment 2B
Finish Affective Computing with a debriefing

For more thorough procedures, see http://www.cse.unr.edu/~sushil/class/ps/papers/03-JOSE.pdf"	Emotion is fundamental to human experience	 influencing cognition	 perception	 and everyday tasks such as learning	 communication	 and even rational decision-making. 	"http://www.interaction-design.org/encyclopedia/affective_computing.html
http://affect.media.mit.edu/"	Analysis & Synthesis																	
Affinity Diagram	"The affinity diagram is a creative process used for gathering and organizing large amounts of datas, ideas and insights by evidencing their natural correlations.

The purpose of affinity diagrams is to sort large amounts of data into logical groups. 

Affinity diagrams can be used to analyze findings from field studies, identify and group user functions as part of design, and analyze findings from a usability evaluation.    "	"The method starts with a statement of the problem or the goal.

During the first session each participant should think of ideas and write them on small pieces of paper (cards or stickers). Then those cards would become the physical instrument to work on their contents, find the correlations and identify the significant groups of sense.

The result is a sort of verbal and visual representation describing the first exploration of design solutions."	"Benefits of the method: Affinity diagramming is a simple and cost effective technique for soliciting ideas from a group and obtaining consensus on how information should be structured.

Related methods: mind map, issue cards, group sketching"	"http://www.servicedesigntools.org/tools/23

http://www.usabilitynet.org/tools/affinity.htm
"	Analysis & Synthesis																								
Appreciative Inquiry	"Appreciative Inquiry sets out to discover elements and factors in an organization that enable it to succeed and then build on those elements to help the organization succeed. 

The questions used in this method are designed to encourage people to tell stories from their own experience of what works. By discussing what has worked in the past and the reasons why, the participants can go on to imagine and create a vision of what would make a successful future that has a firm grounding in the reality of past successes."	"1. Choose the positive as the focus of inquiry
2. Inquire in exceptionally positive moments
3. Share the stories and identify life-giving forces
4. Create shared images of a preferred future
5. Innovate and improvise ways to create that future"	"Appreciative Inquiry uses ""understanding-through-empathy"" during first-hand interviews with stakeholders of the organization. Its bias is toward the direct interaction with and observation of the people in an organization rather than a detached analysis of facts, figures, charts, benchmark comparisons, and discussions with executives only.

 Questions often revolve around what people enjoy about an area, their aspirations for the future, and their feelings about their communities. "	"http://www.peopleandparticipation.net/display/Methods/Appreciative+Inquiry

http://www.peopleandparticipation.net/display/Methods/Appreciative+Inquiry

http://centerforappreciativeinquiry.net/"	Gathering Information																								
Area forums	Area forums are meetings held in a locality	 often held by the local council in the evenings. Often the meetings are attended by local councillors	 together with senior representatives from the local authorities	 the Police	 Primary Care Trusts and other key local organisations	 to debate key topics and answer residents' questions face-to-face.			http://www.peopleandparticipation.net/display/Methods/Area+Forums	"Generating Ideas and Concepts
Evaluating and Choosing"																			
Atomize	This exercise starts with a single item and ends with a layer-by-layer analysis of its components. It is useful for unpacking large but poorly understood structures.	" 1. Open the exercise by putting the name of the system on a sticky note at the top of a large whiteboard. Introduce the exercise as a way to understand what the system is made of in tangible terms, by breaking it down into its atoms. 2. To start the brainstorming, ask the group to ""split"" the main system into its components. In this step you are generating a list of things to capture on sticky notes directly below the main topic. Generally, a short list of three to five large components is the norm. 3. For each item, repeat the splitting process by asking ""What combines to create this?"" In this manner, you will build a pyramid of components all the way down. "	At some point	 usually 4 to 5 layers deep	 there is a natural turning point. Instead of becoming more diverse	 the items start to ebcome more fundamental. 	pg 148	Gather information																					
Attitude Questionnaire/Subjective Assessment	"Subjective assessment tells the evaluator how the users feel about the software being tested. This is distinct from how efficiently or effectively they perform with the software. 

"	"The usual method of assessment is to used a  standardized opinion questionnaire to avoid criticisms of subjectivity.

1. Identify the questionnaire you will use. 
2. Ensure that all your targeted population has been given a questionnaire to fill out. 

If you are doing a mail-shot, expect approximately 20% response rate. This may be higher if you are doing it via the web. You can increase your response rate to nearly 100% by doing reminder personal calls. 

If you are using the questionnaire as part of a lab test, ensure that the questionnaires as filled out can be associated with all the other data (time scores, tapes, sample outputs etc.) from the respondents - so you don’t have questionnaires which you cannot match up with the rest of the data.

It is usual not to prompt the respondent how to reply. If a respondent complains that a question is inapplicable or wrong, tell them words to the effect that it is up to them to make their own judgement about each question, and that there are no right or wrong answers. Encourage them not to miss out questions.

"	Subjective assessment usually produces a list of satisfying and unsatisfying software features which is especially useful if testing is taking place during development.	http://www.usabilitynet.org/tools/subjective.htm	"Gathering Information
Evaluating and Choosing"																								
Attribute Listing	"Attributes are those different categories into which the physical, psychological and social characteristics of things can be placed. By listing attributes, you gain both general and specific views of the ""world"" of that subject. "	"1. Identify the product or process you are dissatisfied with or wish to improve.
2. List its attributes. For a simple physical object like a pen, this might include: Material, Shape, Target market, Colours, Textures, etc.
3. Choose, say, 7-8 of these attributes that seem particularly interesting or important.
4. Identify alternative ways to achieve each attribute (e.g. different shapes: cylindrical cubic, multi-faceted….), either by conventional enquiry, or via any idea-generating technique.
5. Combine one or more of these alternative ways of achieving the required attributes, and see if you can come up with a new approach to the product or process you were working on."		http://www.mycoted.com/Attribute_Listing	"Evaluating and Choosing
Analysis & Synthesis"																								
